frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
140,1.0,[1024.558232431386 616.5918149042334 1311.759295468536 858.3484528022502],[1135.6953125 768.5969848632812 1232.009521484375 805.0234375],0.35483330488204956,AP05JEQ,0.5598883490719421
140,8.0,[544.9216002428177 564.351752536701 801.1956027900449 785.9648706782034],[627.0255126953125 695.1046142578125 710.2982177734375 734.9947509765625],0.30069732666015625,KH05ZIK,0.17461884437772804
141,8.0,[541.7955101205987 566.9900127118477 798.0589534411033 788.8366144216517],[629.18359375 698.1090087890625 707.7889404296875 737.3307495117188],0.30369195342063904,KH05ZZK,0.5288961152472361
141,1.0,[1024.4351208874948 618.8361587993146 1312.689430562163 862.2241211503348],[1127.2625732421875 767.6495361328125 1230.0118408203125 810.6529541015625],0.296540766954422,AP05JEQ,0.28711193187477185
142,8.0,[540.2157496958351 568.6548277517054 796.5508453540095 790.514188684007],[622.7235107421875 698.3292846679688 707.8372192382812 740.6936645507812],0.4449801743030548,KH05ZZK,0.06170035732882665
142,1.0,[1024.3974275546534 619.8389563660902 1313.9364904246922 864.7987503343412],[1131.27880859375 771.391845703125 1232.9664306640625 812.555419921875],0.30038759112358093,AP05JEO,0.2501633496511259
143,1.0,[1022.7917055697461 621.154588081492 1314.5661194946188 867.9611626136675],[1118.56982421875 768.5240478515625 1227.974609375 812.2166748046875],0.5474013090133667,AP05JEO,0.6860559075771219
144,1.0,[1023.1112558576023 623.9077419479045 1316.6051255461098 872.4631246113108],[1124.7659912109375 774.9750366210938 1221.2398681640625 817.2247924804688],0.4738554358482361,AP05JEO,0.4870357851796991
144,8.0,[537.3860090141288 573.256670608699 794.5949967766301 795.0418263170778],[622.2092895507812 703.5628662109375 702.7002563476562 743.9953002929688],0.460828959941864,KH05ZTK,0.44790869190922794
145,1.0,[1023.5238328518132 626.0432730144702 1318.128598939416 875.2407729199109],[1134.479248046875 778.1905517578125 1235.2738037109375 822.3226318359375],0.40284258127212524,AP05JEO,0.7296628930155518
146,8.0,[536.0471445037924 576.785875259494 793.1479880862528 799.9822952359945],[617.4363403320312 707.39208984375 700.0833740234375 753.5626831054688],0.5498493313789368,KH05ZZK,0.09971809568147041
146,1.0,[1023.2715574222246 629.1398655438674 1319.0568852601764 878.9489103200323],[1120.7744140625 780.48779296875 1213.2811279296875 821.9776611328125],0.33654800057411194,KP05JEO,0.20501541860023972
147,8.0,[534.0877374311542 578.6067713373418 792.0762561117051 803.1982769628578],[616.25927734375 707.8191528320312 701.3212890625 756.0059204101562],0.5429167151451111,ER05ZZK,0.16275161638301858
147,1.0,[1024.196008840322 630.8661259492224 1320.5586707671669 882.4068746241235],[1127.30078125 784.3553466796875 1239.1514892578125 830.2994384765625],0.5102598667144775,AP05JEO,0.1282601754882362
148,1.0,[1023.3867811177317 632.4675583781194 1320.9030288853307 885.1036375318812],[1123.413330078125 787.3540649414062 1228.9017333984375 826.4071655273438],0.48832347989082336,AP05JEO,0.3774481122673181
149,1.0,[1024.0484317808794 634.3371263149577 1323.4929314318103 888.4776028849035],[1130.703125 792.2779541015625 1218.06494140625 831.509033203125],0.41495370864868164,AP05JEO,0.5802526746881183
150,8.0,[530.306367157137 583.53718877525 791.3646832710945 810.2818852234453],[613.0353393554688 712.8858642578125 695.5699462890625 756.2304077148438],0.4574699401855469,KK05ZZK,0.21603955003424236
